train_urls,iterable,instruction_tune_compatible,text,caption,instruction,question,response,image_ext,wd_path
1,True,True,,,,Identify and explain the connections between elements in this diagram.,Start is connected with Input which is then connected with C<10? which if C<=10? is F then End and if C<0? is T then Output. Output is then connected with C=C+1 which is then connected with both C<=10? and End.,png,/fsx_3/dataset01/cauldron/diagram_image_to_text
473,True,True,,,,"What is the value of Wyoming?
Quick response, please.","140-2,477.",png,/fsx_3/dataset01/cauldron/mapqa
783,True,True,,,,"What is the genre of this book?
Provide a succinct answer.",Religion & Spirituality.,png,/fsx_3/dataset01/cauldron/ocrvqa
19648,True,True,,,,"What is the difference between the highest and the second highest HIV infected population (in %) of 1990?
Offer a very short reply.",0.5.,png,/fsx_3/dataset01/cauldron/plotqa
85,True,True,,,,What's the venue for the home team that scored 9.14 (68)?,Western Oval.,png,/fsx_3/dataset01/cauldron/robut_wikisql
23,True,True,,,,"What is to the left?
Answer briefly.",1900 Holly Hall.,png,/fsx_3/dataset01/cauldron/st_vqa
22,True,True,,,,Provide a caption for this picture.,An advertisement for a Marvel movie next to another one.,png,/fsx_3/dataset01/cauldron/textcaps
7,True,True,,,,"Question: Which muscle group is at the shoulders?
Choices:
A. deltoid.
B. biceps femoris.
C. gluteus maximus.
D. brachioradialis.
Answer with the letter.",Answer: A,png,/fsx_3/dataset01/cauldron/tqa
10,True,True,,,,Describe the relationship between variables in this chart.,"This bar graph is titled Revenue of biotech company Genentech by product sold in the U.S. in 2008 (in million U.S. dollars). The x-axis shows biotech company using categorical scale from Avastin to Xolair while the y-axis shows Revenue in million U.S. dollars with linear scale with a minimum of 0 and a maximum of 2,500. From this graph we can see that the two biggest companies with at least double the revenue of the others, are Avastin and Rituxan, both of which have a revenue of over 2,500 million US dollars. there are also some companies with increadibly small revenues when compared to these two, with raptivas revenue at around 100 million and pulmozyne at 250 million US dollars.",png,/fsx_3/dataset01/cauldron/vistext
180,True,True,,,,"How many of the buses are blue?
Give a very brief answer.",0.,png,/fsx_3/dataset01/cauldron/tallyqa
